empresaId:ID(Empresa),cnpj,razao_social
34804149000145,34804149000145,D AVELINO BEZERRA LTDA
30528655000106,30528655000106,OLIVEIRA COMERCIO DE PRODUTOS PARA ESCRITORIO LTDA
23010515000178,23010515000178,CORE SYSTEMS COMPUTADORES E REDES LTDA
04519119000126,04519119000126,SUPRIHOUSE COMERCIO E SERVICOS LTDA
10577342000122,10577342000122,WD EDUCACIONAL LTDA
00656809000176,00656809000176,ASSOCIACAO BRASILEIRA DE OUVIDORES
28627449000101,28627449000101,UNIAO NACIONAL DOS AUDITORES DO MINISTERIO DA EDUCACAO - UNAMEC
13859951000162,13859951000162,CONNECT ON MARKETING DE EVENTOS LTDA
29419181000177,29419181000177,INSTITUTO BRASILEIRO DE DIREITO ADMINISTRATIVO - IBDA
39423535000100,39423535000100,UNBOX EVENTOS LTDA
04361727000155,04361727000155,LATINO INDUSTRIA E COMERCIO LTDA
08048145000174,08048145000174,SABBAG & SABBAG CURSOS JURIDICOS LTDA
04429478000192,04429478000192,SB COMERCIO LTDA
11699529000161,11699529000161,QUALY NUTRI SERVICOS DE ALIMENTACAO LTDA
02531343000108,02531343000108,ADSERVI - ADMINISTRADORA DE SERVICOS LTDA
16457791000113,16457791000113,LEC EDUCACAO E PESQUISA LTDA
45518276000102,45518276000102,ASN LTDA
43296726000126,43296726000126,F. S. HOLANDA
09199109000174,09199109000174,CONTEMPORANEO FESTAS E EVENTOS LTDA
14377211000152,14377211000152,INSTITUTO AQUILA DE GESTAO
63697619000117,63697619000117,ECOTEXTIL COMERCIO E FABRICACAO DE ROUPAS LTDA
15691528000121,15691528000121,SINGULARI CONSULTORIA S/S LTDA
07153962000200,07153962000200,PODIUM COMERCIO DE PNEUS AUTO CENTER LTDA
02246183000155,02246183000155,WSK EMPREENDIMENTOS E SERVICOS LTDA FALIDO
63679351000190,63679351000190,DANTAS TRANSPORTES E INSTALACOES LTDA
19321380000194,19321380000194,AUTOPAGE GESTAO DA INFORMACAO LTDA
84486513000144,84486513000144,COMDASP CONSULTORIA EMPRESARIAL LTDA
04330986000119,04330986000119,A M P DA CUNHA LTDA
04402392000176,04402392000176,MAP SERVICOS DE CONSERVACAO LTDA
